period,unemp_rate,female_unemp_rate
1991,6.31400013,7.995999813
1992,6.420000076,8.095000267
1993,6.03000021,7.443999767
1994,6.169000149,7.71600008
1995,6.420000076,8.112000465
1996,7.25,9.56499958
1997,8.159999847,10.87699986
1998,9.420000076,12.59899998
1999,10.21000004,13.32999992
2000,9.56099987,12.35099983
2001,9.609999657,12.2159996
2002,9.369999886,11.8579998
2003,9.989999771,12.66100025
2004,9.109999657,11.98900032
2005,9.569999695,12.53899956
2006,8.640000343,11.375
2007,8.329999924,11.13099957
2008,7.340000153,9.944000244
2009,8.520000458,11.35599995
2010,7.274000168,9.833999634
2011,6.920000076,9.437000275
2012,7.190000057,9.067000389
2013,6.980000019,8.776000023
2014,6.659999847,8.114999771
2015,8.430000305,10.06000042
2016,11.60000038,13.4659996
2017,12.81999969,14.71800041
2018,12.32999992,14.22700024
2019,11.93000031,14.13899994
2020,13.68999958,16.04199982
2021,14.40299988,17.68199921
