period,country,cpi
1960,United States,1.457975986
1961,United States,1.070724148
1962,United States,1.198773348
1963,United States,1.239669421
1964,United States,1.278911565
1965,United States,1.585169264
1966,United States,3.015075377
1967,United States,2.772785623
1968,United States,4.271796153
1969,United States,5.4623862
1970,United States,5.838255338
1971,United States,4.292766688
1972,United States,3.272278247
1973,United States,6.177760064
1974,United States,11.0548048
1975,United States,9.143146865
1976,United States,5.744812635
1977,United States,6.501683995
1978,United States,7.630963839
1979,United States,11.25447113
1980,United States,13.54920197
1981,United States,10.33471534
1982,United States,6.131427
1983,United States,3.212435233
1984,United States,4.300535475
1985,United States,3.545644152
1986,United States,1.898047722
1987,United States,3.664563218
1988,United States,4.077741107
1989,United States,4.82700303
1990,United States,5.39795644
1991,United States,4.234963965
1992,United States,3.028819678
1993,United States,2.951656966
1994,United States,2.607441592
1995,United States,2.805419689
1996,United States,2.9312042
1997,United States,2.337689937
1998,United States,1.552279099
1999,United States,2.188027197
2000,United States,3.376857271
2001,United States,2.826171119
2002,United States,1.586031627
2003,United States,2.270094973
2004,United States,2.677236693
2005,United States,3.392746845
2006,United States,3.225944101
2007,United States,2.852672482
2008,United States,3.839100297
2009,United States,-0.355546266
2010,United States,1.640043442
2011,United States,3.156841569
2012,United States,2.069337265
2013,United States,1.464832656
2014,United States,1.622222977
2015,United States,0.118627136
2016,United States,1.261583206
2017,United States,2.130110004
2018,United States,2.442583297
2019,United States,1.812210075
2020,United States,1.233584396
2021,United States,4.697858864
1960,Colombia,5.814076282
1961,Colombia,8.283190456
1962,Colombia,4.697093951
1963,Colombia,26.35543553
1964,Colombia,17.07243522
1965,Colombia,7.590683669
1966,Colombia,16.72816827
1967,Colombia,8.328191364
1968,Colombia,7.447538783
1969,Colombia,6.98166308
1970,Colombia,6.908622758
1971,Colombia,11.9402617
1972,Colombia,12.44445899
1973,Colombia,22.52964868
1974,Colombia,23.87095737
1975,Colombia,23.43750257
1976,Colombia,19.83122492
1977,Colombia,33.80281836
1978,Colombia,17.76315909
1979,Colombia,24.13407574
1980,Colombia,26.55265315
1981,Colombia,27.45376243
1982,Colombia,24.72098825
1983,Colombia,19.59731706
1984,Colombia,16.16161714
1985,Colombia,24.09017437
1986,Colombia,18.84246316
1987,Colombia,23.30202836
1988,Colombia,28.10839698
1989,Colombia,25.86754808
1990,Colombia,29.1520246
1991,Colombia,30.38782049
1992,Colombia,27.01062662
1993,Colombia,22.44248285
1994,Colombia,22.84624176
1995,Colombia,20.89179302
1996,Colombia,20.79757551
1997,Colombia,18.47002171
1998,Colombia,18.67697993
1999,Colombia,10.87368709
2000,Colombia,9.225348186
2001,Colombia,7.965560903
2002,Colombia,6.351507288
2003,Colombia,7.129788629
2004,Colombia,5.904020055
2005,Colombia,5.051019627
2006,Colombia,4.293423636
2007,Colombia,5.544384858
2008,Colombia,6.996884956
2009,Colombia,4.202516612
2010,Colombia,2.272002279
2011,Colombia,3.415033448
2012,Colombia,3.169301888
2013,Colombia,2.016992243
2014,Colombia,2.898837878
2015,Colombia,4.989831158
2016,Colombia,7.513460246
2017,Colombia,4.314313257
2018,Colombia,3.240569329
2019,Colombia,3.523019327
2020,Colombia,2.526635001
2021,Colombia,3.495057574
1960,Cameroon,NA
1961,Cameroon,NA
1962,Cameroon,NA
1963,Cameroon,NA
1964,Cameroon,NA
1965,Cameroon,NA
1966,Cameroon,NA
1967,Cameroon,NA
1968,Cameroon,NA
1969,Cameroon,-1.101591187
1970,Cameroon,5.858085809
1971,Cameroon,4.014029618
1972,Cameroon,8.092918696
1973,Cameroon,10.3847487
1974,Cameroon,17.23293349
1975,Cameroon,13.55332941
1976,Cameroon,9.930650564
1977,Cameroon,14.69830916
1978,Cameroon,12.46305234
1979,Cameroon,6.580610819
1980,Cameroon,9.551754276
1981,Cameroon,10.7275
1982,Cameroon,13.25701986
1983,Cameroon,16.63122641
1984,Cameroon,11.37332209
1985,Cameroon,8.508374344
1986,Cameroon,7.770024987
1987,Cameroon,13.14049984
1988,Cameroon,1.682332608
1989,Cameroon,-1.665525896
1990,Cameroon,1.099381284
1991,Cameroon,0.060051331
1992,Cameroon,-0.016055046
1993,Cameroon,-3.206554569
1994,Cameroon,35.09446185
1995,Cameroon,9.069690719
1996,Cameroon,3.924063727
1997,Cameroon,4.786238819
1998,Cameroon,3.170751854
1999,Cameroon,1.871745007
2000,Cameroon,1.22719013
2001,Cameroon,4.419772459
